,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.2750477371285204,26.95,6.51,1.89,7.14980,3.25620,16.72480,24.15090,0.90460,,0.00,,,0.09328065798307783,-0.008917496729853092
2021-12-31,0.23745544679850172,36.77,9.75,2.61,1.95120,0.90270,16.62890,26.48850,0.87410,,0.00,,,1.0488723294621267,0.22163362495652406
2020-12-31,-0.07670848437265088,35.43,8.95,2.04,2.20180,1.00820,9.35610,24.99560,0.86390,,0.00,,,-0.4642722623900414,8.347011617068679
2019-12-31,0.27574375586054045,299.32,8.16,2.27,2.63170,1.25040,23.16040,3.54640,0.90020,,0.00,,,-0.039966125926933604,-0.9584410406415577
2018-12-31,0.1368404731101518,10.62,6.00,1.72,12.85540,6.58270,25.11720,88.84460,0.85490,,0.00,,,-0.2213377155318229,1.5626893100217187
2017-12-31,-0.07747908024603078,24.00,5.25,1.73,7.55390,2.99990,20.79020,22.34460,1.40850,,0.00,,,-0.4582656074884931,-0.3408129292361811
2016-12-31,-0.09680649198595004,16.82,4.92,1.76,6.29780,2.37430,33.31410,29.42520,1.54670,,0.00,,,0.19564537679461425,-2.1177357319213916
2015-12-31,-0.08041922992674988,0.00,5.90,1.18,1.56640,0.71170,30.57380,-28.88720,1.13570,,0.00,,,-0.1544062564137647,-1.6094307868266442
2014-12-31,0.2780350550879225,13.40,7.54,1.13,2.46720,1.27190,42.86420,56.19360,0.88400,,0.00,,,-0.44713333033896985,-0.05087900873281781
2013-12-31,-0.1578295391427007,9.89,4.57,0.88,8.33060,4.53600,60.43450,46.15040,0.79240,,0.00,,,0.09563688133322157,0.19305198026810655
2012-12-31,0.14184355094814838,13.24,5.63,1.05,7.45030,4.02290,61.61150,43.20760,0.80860,,0.00,,,0.2967679239769683,0.5763358186073408
2011-12-31,0.1865109656602404,17.12,5.18,0.97,6.00000,3.07970,52.71440,30.41170,0.83820,,0.00,,,0.36995354719690376,0.6757897612342196
2010-12-31,0.27518432607074805,18.66,4.50,0.84,4.01160,2.36530,52.57150,24.79410,0.57040,,0.00,,,0.6626377997934438,1.8192978756566944
2009-12-31,0.1852033677802598,33.69,3.40,0.71,1.80920,0.84070,34.19620,9.51110,0.94920,,0.00,,,,
