,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.06765678060940394,27.61,2.84,14.11,51.97710,9.73890,13.32530,10.31350,2.26200,0.80410,0.61,7.77020,8.50060,0.03135638774413185,0.16959831976896833
2021-12-31,0.20539245736625222,30.19,2.90,14.19,47.54500,8.31270,14.04490,9.58550,2.49730,0.83080,0.67,8.52890,9.15600,0.1073412698412699,0.06994382022471912
2020-12-31,0.1170860651709289,26.86,2.72,14.00,52.94420,7.72190,14.32390,10.11770,3.25780,0.98410,0.81,7.62150,8.37360,-0.020503352443883016,-0.02652447361225052
2019-12-31,0.273681139206847,23.72,2.58,11.52,49.45520,9.36130,15.32290,10.89030,2.15680,0.86240,0.70,9.02700,8.58620,0.017903066271018897,-0.4154878925917046
2018-12-31,-0.04812100571523126,10.98,2.13,9.33,86.00880,16.17430,15.63540,19.35170,2.21350,0.98890,0.85,9.39290,9.05360,-0.016154145581938506,1.5762816553428043
2017-12-31,0.1781489027922174,30.13,2.30,13.13,44.06930,6.15010,16.17630,7.64580,3.57720,1.51340,1.37,9.77130,9.04400,0.04814361485108121,-0.23258018644335599
2016-12-31,0.07796450746223837,19.77,2.00,10.99,56.20260,8.68010,15.61170,10.07820,3.29900,1.25150,1.12,10.36430,9.38140,0.17371004429546266,0.16085840058694068
2015-12-31,0.08747493817857355,21.78,1.89,9.62,45.18280,7.89610,13.24700,8.64630,2.76680,1.31020,1.16,10.56290,9.79590,-0.12817033712556103,-0.161617714900815
2014-12-31,0.17260827193949235,17.22,1.69,6.23,37.07600,9.30090,14.36800,9.75210,1.64670,1.14210,0.97,9.93890,,-0.012776919113858809,-0.03516320474777446
2013-12-31,0.24647457499070557,14.51,1.48,3.93,27.68060,8.75990,14.61270,10.14830,1.21530,1.24460,1.05,9.16490,9.55060,0.06507901668129934,0.09220547723221517
2012-12-31,0.06399554931293583,12.83,1.21,3.47,27.59080,8.32550,13.91320,9.42250,1.26610,1.09540,0.89,8.73810,9.30150,-0.05408491643309454,-0.04117464263517712
2011-12-31,0.04745656056261893,11.76,1.14,3.54,30.74950,8.86640,14.48480,9.67760,1.28110,0.96070,0.75,8.25530,9.62150,0.15614498319731163,0.01932214127336085
2010-12-31,0.10634782502114293,11.54,1.26,3.32,29.36300,9.29970,14.40580,10.91670,1.15930,1.10550,0.89,7.88110,9.14720,0.035803083043262074,0.06296296296296289
2009-12-31,0.14636140867551672,10.82,1.49,3.66,34.07610,15.00450,18.60660,13.73980,0.45090,1.43570,1.14,7.67720,9.34950,,
