,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-06-30,0.29696778308655536,24.29,2.65,4.83,20.15360,6.95340,16.12990,10.92530,1.21490,0.88350,0.51,4.34540,6.74330,0.095453219337577,0.5832533321171629
2022-06-30,-0.06896165393472653,23.90,1.98,3.49,14.85550,5.07320,17.69830,8.29430,1.29570,2.05600,1.68,4.76410,6.77410,0.18965423717321195,-0.2465465895424087
2021-06-30,0.183043493750352,22.25,2.70,4.55,20.76220,8.58780,16.44670,12.17000,0.78260,1.81390,1.14,4.59410,6.57070,0.3509717887003658,0.45269848665108103
2020-06-30,0.34720708390618094,18.80,1.65,3.59,19.26270,6.04560,12.75360,8.77640,1.35570,1.59920,0.98,5.24000,7.38540,-0.16323370757665467,-0.21157272209671796
2019-06-30,0.4075713088162438,13.83,1.46,3.41,25.55370,8.67670,14.57660,10.64580,1.19100,2.43450,1.90,6.36960,6.71980,0.08456311955844598,0.4371366542829429
2018-06-30,-0.2399977033501276,18.21,1.35,3.22,18.09420,6.92760,13.45690,7.41690,0.84510,1.59040,1.08,6.62290,6.66620,0.28527935934267434,0.07869438241550841
2017-06-30,0.4491738591960368,19.91,1.62,3.64,18.67820,6.35150,12.44840,8.17510,1.11450,1.40750,0.95,5.88520,6.23040,0.27118044089646176,0.21884388478508754
2016-06-30,0.4754862380122673,16.24,1.15,2.80,17.62990,6.70770,10.36910,7.10200,0.65830,2.20120,1.71,7.52000,7.12760,-0.2207662230536337,-0.20283755211729604
2015-06-30,-0.23082454850044942,14.47,1.16,2.72,19.82460,8.24600,11.89260,7.96220,0.57700,2.31620,1.76,7.42450,7.84580,0.08466427312750047,-0.027768172072757502
2014-06-30,0.019718841924274644,15.53,1.22,2.38,15.63030,7.84530,10.54600,7.87720,0.34890,1.86660,1.45,7.42750,7.11230,0.014336419337536377,0.09765748971718424
2013-06-30,0.5392518609413948,12.77,0.93,2.07,16.52510,7.56550,10.55690,7.28680,0.49290,1.57130,1.18,7.32300,7.07060,-0.1763689341222463,-0.17658615950541012
2012-06-30,0.13750338416744623,8.44,0.74,1.91,23.55390,10.34430,12.69050,8.76180,0.35260,1.80940,1.25,7.10940,6.59840,0.1191749852412387,0.09788396099625407
2011-06-30,-0.10074116621425011,11.28,0.96,2.03,19.26180,9.71040,12.07400,8.49780,0.32180,1.80060,1.21,6.64760,6.24200,0.7153124872341761,0.8935142988638518
2010-06-30,0.6277981466320199,12.90,0.71,1.58,12.47620,5.61400,8.69610,5.54440,0.39850,1.62770,1.10,6.69740,6.24600,0.037905141181790336,0.0895745454903003
2009-06-30,0.2941947887618088,,,1.23,11.72630,5.17600,8.12180,4.93270,0.53350,1.55740,0.93,6.52130,7.27370,,
