,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.026419761005039732,11.30,1.37,3.04,28.08210,12.86640,16.75750,12.05360,0.67800,2.86500,1.75,6.53580,7.94190,0.14443370388271304,0.22427219360249184
2021-12-31,0.016103470420672394,14.48,1.56,3.31,23.31730,10.73270,16.05890,10.79780,0.68910,3.08850,2.07,6.49010,7.16830,0.7148779824392848,0.8248797551377351
2020-12-31,0.27266915635254274,26.00,1.78,3.68,14.20080,6.20190,10.87230,6.86970,0.76870,3.51430,2.51,6.71250,7.95010,-0.3129924077061783,-0.3382523148148149
2019-12-31,0.38345776278871235,13.49,1.34,3.05,22.67670,9.62440,15.13000,9.92490,0.81220,3.42420,2.33,6.69980,7.98570,-0.013112297461833844,-0.05612453912330995
2018-12-31,-0.28861122919004045,9.17,0.96,2.53,27.61560,11.23340,15.22110,10.43970,0.93650,3.04950,1.90,6.74870,7.63620,0.14498659517426282,0.1045248868778279
2017-12-31,0.45492374920157186,14.21,1.46,4.34,30.63320,10.78820,14.46880,10.28720,1.21450,2.29990,1.38,6.52340,7.15940,0.1904757345299115,0.4892183288409704
2016-12-31,0.39091097729758895,14.54,1.12,3.70,25.54840,7.78260,13.55430,7.70380,1.51570,2.71230,1.56,6.22290,8.21930,0.044400400000000007,0.03151065801668196
2015-12-31,-0.16587434820673874,11.13,0.84,2.92,26.74340,8.28480,13.06230,7.51690,1.42030,2.76650,1.56,6.69870,8.63800,0.0673114935786272,0.11553372964590336
2014-12-31,0.2609153512024578,14.91,0.99,3.85,25.80520,7.44580,12.00660,6.61070,1.56390,2.45970,1.37,6.95310,8.98740,0.4581870633299572,-0.12327215046453666
2013-12-31,0.693805112818654,10.56,1.26,3.42,32.52510,8.41570,13.14760,12.03990,1.89620,2.31760,1.42,4.70770,5.50260,0.10123402679022542,1.754681647940075
2012-12-31,0.5734510175961689,16.59,0.96,2.82,16.52460,6.52870,15.38730,5.63310,0.84530,3.60610,2.57,8.21980,6.80960,0.6044033843533236,0.01375081473419093
2011-12-31,0.006719650714602565,11.21,0.68,1.87,17.01210,6.55030,10.40980,6.03130,0.89380,2.15690,1.48,8.15980,8.18820,0.47128412821539123,-0.2307688563292526
2010-12-31,0.15110823173724408,8.75,0.74,1.78,20.36020,9.22930,7.61130,8.43470,0.67450,1.97640,1.38,7.89330,8.27900,-0.4740256958281943,-0.2273829895259406
2009-12-31,0.7738606551668099,5.88,0.73,1.75,29.58190,12.35090,16.41160,12.38110,0.75750,2.38630,1.81,8.06490,5.71290,,
