,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.18560088486303095,10.87,2.65,1.32,13.34370,1.09700,,27.65100,1.28160,,0.00,,,0.06940469376073266,0.055278239970419696
2021-12-31,0.3821725563965903,15.63,4.01,1.40,10.27350,1.02750,,27.05850,0.55240,,0.00,,,1.0379119276757072,0.9915316642120766
2020-12-31,-0.02732468181227421,7.88,3.13,1.05,5.55690,0.64350,,19.78730,0.68830,,0.00,,,-0.3756372906045157,-0.36601307189542487
2019-12-31,0.40892420725488265,10.68,3.09,1.21,9.30430,1.11900,,26.66500,1.22130,,0.00,,,0.001093693036821053,-0.15352697095435686
2018-12-31,-0.16977925520394965,9.12,2.42,0.94,9.54160,1.19220,,32.06820,1.09720,,0.00,,,-0.0007285974499089409,0.0015832178903620875
2017-12-31,0.2595938654034602,11.32,3.18,1.17,11.32290,1.41500,,31.80390,1.14110,,0.00,,,0.0451170759565962,0.3798470780993992
2016-12-31,0.257808116323474,12.79,2.85,0.97,8.50510,1.08770,,24.86250,1.03580,,0.00,,,-0.04612311603413832,-0.0522774327122153
2015-12-31,0.06806619067328934,10.04,2.39,0.81,9.01040,1.15570,,25.81160,1.08660,,0.00,,,-0.019059494121838272,-0.018292682926829285
2014-12-31,0.20319557323188664,9.49,2.25,0.79,9.98620,1.21920,,26.06280,1.23210,,0.00,,,-0.013009845288326272,0.0005083884087442314
2013-12-31,0.36451689778274843,7.83,1.82,0.70,10.50480,1.31550,,25.59700,1.04700,,0.00,,,0.4082693736073286,0.40199572344975043
2012-12-31,0.0366662345318145,7.97,1.35,0.54,7.84280,0.98130,,19.31840,0.97950,,0.00,,,-0.00737281887441632,-0.06404269513008676
2011-12-31,-0.030600292131421236,6.94,1.37,0.58,8.62420,1.13240,,22.75700,0.98540,,0.00,,,0.001969958138389627,-0.00431750249086682
2010-12-31,0.1580748181446221,7.36,1.28,0.68,9.39390,1.14420,,23.75730,1.20250,,0.00,,,0.2592248062015503,0.5032451323015477
2009-12-31,0.10262543562974424,8.39,0.86,0.52,9.58810,0.87380,,16.28720,1.20550,,0.00,,,,
