,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.038568328188808176,0.00,0.59,1.11,-8.49600,-0.21190,-2.95750,-2.39470,1.20190,,0.00,,,-1.189318835944995,-1.1861729673744175
2021-12-31,0.4523890667669088,5.12,0.55,0.60,12.44890,0.83130,13.22500,10.88900,0.30900,,0.00,,,-30.043343653250773,-21.6524064171123
2020-12-31,-0.11483112346559743,0.00,0.47,0.40,-0.21400,-0.01550,-0.56630,-0.65580,0.30260,,0.00,,,-1.0635201573254671,-1.089345437171524
2019-12-31,0.20055366957646292,7.62,0.49,0.48,6.65110,0.47270,7.84640,6.45920,0.32300,,0.00,,,0.051923872569300755,0.027491408934707806
2018-12-31,-0.264605156670797,6.78,0.44,0.54,8.33760,0.50150,7.67400,6.46750,0.40440,,0.00,,,-0.2548173269616155,-0.48187714612743227
2017-12-31,0.13643543777604572,4.88,0.64,0.68,14.62820,0.95830,10.86800,13.17330,0.34030,,0.00,,,0.13707274320771257,0.8001373626373627
2016-12-31,0.32482015626613436,7.94,0.59,0.72,9.58820,0.56370,9.70580,7.43120,0.41600,,0.00,,,-0.26567125756210586,-0.22580645161290325
2015-12-31,-0.07345721042149356,4.78,0.47,0.62,13.62500,0.75430,13.60140,9.87760,0.49640,,0.00,,,3.4167140420693576,3.0854453294713977
2014-12-31,0.006325569453693447,20.16,0.54,0.67,3.36730,0.18600,3.25110,2.55240,0.55890,,0.00,,,-2.044536817102138,-3.070464767616192
2013-12-31,0.771312684575395,0.00,0.70,0.80,-1.58020,-0.07750,-4.06160,-1.60870,0.73080,,0.00,,,-3.378531073446328,-2.282692307692308
2012-12-31,0.09897699408062222,8.73,0.19,0.42,1.41900,0.07830,0.83440,0.61290,0.69580,,0.00,,,-0.8573730862207897,-0.8568281938325991
2011-12-31,-0.12080533226409762,4.45,0.32,0.43,10.42160,0.58540,10.11310,7.39940,0.77370,,0.00,,,0.19903381642512086,0.21026324558480503
2010-12-31,0.20509078152200555,14.51,0.45,0.54,9.04700,0.55180,10.83290,7.85250,0.77850,,0.00,,,1.7165354330708662,-0.03937259923175418
2009-12-31,0.6685663165567741,4.09,0.41,0.55,12.08360,0.64740,4.70660,9.64790,0.93900,,0.00,,,,
