,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.2463083997971709,42.86,1.23,3.77,9.47690,3.80000,5.10750,2.87680,0.69090,1.62530,1.60,140.84880,4.64660,0.31428885769166137,0.010768464634658192
2021-12-31,0.594992848123191,34.09,1.27,3.18,9.61480,3.82710,5.11180,3.74380,0.73360,1.49530,1.47,130.25140,3.81740,0.08530086767409784,0.09057531934757046
2020-12-31,0.7774092235118863,23.24,0.93,2.28,10.39230,5.38160,5.45740,3.97760,0.27340,1.67800,1.65,189.05180,4.12460,0.10181789018768206,0.10832645183114287
2019-12-31,0.358395051735535,14.75,0.49,1.41,10.03530,4.88270,4.58110,3.31930,0.33720,1.69280,1.67,188.65920,4.40780,0.02703359032895869,0.3705453628138784
2018-12-31,-0.2303770920719299,15.52,0.41,1.16,8.21000,4.18340,4.83620,2.62590,0.30680,1.84160,1.78,89.95900,4.74420,0.42608049759191413,-0.06867781241864512
2017-12-31,0.12223711039906804,19.26,0.64,1.56,8.38400,4.91080,4.00200,3.32730,0.17700,1.92340,1.87,101.67660,4.76880,0.18090164675371634,0.5877267709430747
2016-12-31,0.7209917885681627,26.61,0.71,1.55,5.99630,3.74370,4.19290,2.59280,0.10800,1.89900,1.83,74.95960,5.10050,0.3507750852726428,-0.3619217322221757
2015-12-31,-0.2867226385948852,12.55,0.53,1.03,4.24910,2.51660,3.13640,4.10580,0.15620,1.89200,1.83,88.31470,4.67110,-0.4464577340097575,0.04783394110153205
2014-12-31,-0.10044356382140363,20.72,0.79,1.35,6.35490,4.59880,5.53820,3.82990,0.01800,2.25590,2.22,169.02020,4.30140,-0.0986113416204657,-0.26176039569965237
2013-12-31,0.15646807624205805,16.63,1.04,1.59,9.22930,6.75690,7.42410,6.26870,0.00050,2.21910,2.19,170.17420,4.45520,0.023385042336195205,0.3107729536345223
2012-12-31,0.26694503878672493,18.67,0.97,1.52,8.10520,5.94700,7.85640,5.17930,0.00000,2.49860,2.46,130.22560,4.45780,1.3871757629258576,1.3139191789608726
2011-12-31,0.08132376623111881,33.15,1.08,1.32,3.84780,2.77520,4.64600,3.15980,0.00000,2.25990,2.18,58.09510,4.36900,-0.20143775795008834,-0.13488405494333322
2010-12-31,-0.04414243265624229,26.88,1.14,1.26,4.30880,3.34180,6.72260,4.22040,0.00040,3.19020,3.09,58.73770,4.73580,0.007718832770738482,-0.05541372208038886
2009-12-31,0.05252634007536727,25.34,1.24,1.39,5.25740,3.97220,7.29700,4.88720,0.04180,3.19310,3.13,81.45160,4.82100,,
