,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-03-31,-0.007060900264783787,110.40,2.95,2.57,2.64300,1.54140,5.13160,2.88990,0.52480,3.65230,2.22,2.85270,10.78190,-0.8506057163177603,-0.9001773837207614
2022-03-31,-0.4204233007225525,13.42,3.00,2.90,22.69500,13.76140,26.39140,22.24320,0.44960,3.62870,2.51,3.12210,7.73000,0.3523411502194398,0.40858438600293634
2021-03-31,-0.059421422986708494,28.77,5.28,4.44,15.84670,10.15880,22.57930,18.27040,0.37640,3.64420,2.90,4.19810,8.28320,1.1422318290821165,1.1943049427951844
2020-03-31,0.43052568183773565,28.59,2.98,2.15,7.78830,5.09590,13.06570,10.32140,0.36670,3.13640,2.18,3.70720,8.47530,0.9551149117575453,1.5113615023474178
2019-03-31,0.9138811131236624,67.67,2.95,1.96,3.05360,2.29210,7.00460,4.30780,0.21130,3.86770,2.69,3.70290,7.72380,2.079964998150309,-4.30433379666402
2018-03-31,-0.08813813813813809,0.00,3.03,1.86,-0.84360,-0.63130,2.36360,-1.35490,0.20590,4.17830,3.11,3.86750,7.60980,-0.2018769212949031,1.4331440995289286
2017-03-31,0.2630381187179973,0.00,2.91,1.77,-0.33810,-0.25390,2.90380,-0.54600,0.20200,3.48980,2.46,4.40710,7.16590,6.357879344919787,-0.42596637198821286
2016-03-31,,0.00,2.83,1.28,-0.57690,-0.43730,0.45840,-1.10490,0.19760,4.03750,2.89,3.65140,7.17750,-0.9022748373220627,-1.1469412082342094
2015-03-31,,,,1.92,3.17990,2.84810,7.15770,11.47320,,4.61130,3.55,2.94510,4.50670,3.4792197769641815,14.527843695617783
2014-03-31,,,,,1.86910,1.37370,2.38110,1.10100,0.12900,2.44310,0.00,5.91320,7.62450,-2.7436687266025093,-1.2385328025057076
2013-03-31,,,,,,,-1.62630,-5.49700,,,0.00,,,,
