,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-09-30,-0.247937546148421,26.54,3.19,8.08,30.46710,8.54290,13.83430,12.01230,1.27170,1.01080,0.72,4.41890,4.46850,-0.29655353164722853,-0.31359988218835133
2021-09-30,0.41190714173926657,24.52,4.76,12.24,49.89790,12.56170,21.81100,19.40860,1.47770,1.02380,0.76,5.13680,4.91220,0.34336766129742124,0.32704709790893105
2020-09-30,0.2613301917532471,23.93,3.86,18.11,75.97270,14.08460,17.94840,16.16800,1.48450,1.48320,1.16,6.39490,5.06750,0.26093229744728075,0.4708249496981891
2019-09-30,0.3785483625175068,26.44,2.75,43.96,172.14240,11.38230,13.45820,10.39310,5.58360,1.54160,1.24,6.59150,5.67980,-0.3229636308987075,0.299346405228758
2018-09-30,-0.21769559029486785,39.62,3.26,12.78,33.10660,8.55160,19.96400,8.03330,1.09810,1.26550,1.01,6.50120,5.60120,0.2828224407171773,-0.3514593678091317
2017-09-30,0.4886997484889053,25.11,3.28,7.67,30.99940,11.52940,16.43720,13.08290,0.69220,2.06020,1.80,6.52120,5.55820,0.09998986321275094,0.13156091544470327
2016-09-30,0.34440903280783974,19.22,2.39,6.91,36.66650,10.27570,16.04050,12.41090,0.98730,2.11800,1.85,6.46410,5.44900,-0.16354802660753875,-0.1182938617689705
2015-09-30,-0.05557576479450421,14.19,1.86,5.07,36.67140,12.92180,17.87440,13.12010,0.66510,2.93500,2.53,6.73040,6.05950,-0.005907247399047799,0.0009675858732463016
2014-09-30,-0.03889818220070662,15.46,1.93,4.71,31.10490,13.28340,17.12390,12.48280,0.46100,2.32500,1.98,6.57650,5.44790,0.1562851622270529,0.09480932203389814
2013-09-30,0.4372720063441713,16.29,1.94,4.69,29.25160,12.94020,15.44260,11.88940,0.41930,2.38230,1.98,6.13930,5.35530,0.015529559533032256,0.024694708276797872
2012-09-30,0.1718944064313619,10.80,1.28,4.19,39.80130,13.07550,15.43120,11.77430,0.57350,2.21170,1.81,6.03670,5.27200,0.11330145841468808,0.05617655488678719
2011-09-30,0.04489566997734795,9.10,1.06,3.55,39.87990,13.19040,14.45900,11.62920,0.51770,2.31230,1.83,5.62570,5.64270,0.5942669575157795,0.5064766839378239
2010-09-30,0.5611503248712841,14.65,1.40,4.58,30.15610,9.27490,11.20440,9.53680,0.61960,2.11620,1.62,4.84100,5.65420,0.9868546962925533,1.0987766198459448
2009-09-30,0.5087964566205361,,,3.43,16.55270,5.06070,6.32200,5.09410,0.68730,2.25380,1.79,6.33130,5.96520,,
