,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.8121575071678551,21.96,2.70,4.16,19.41190,8.09550,14.77700,12.24950,0.67960,1.24840,0.92,5.73390,3.99470,0.5012658227848101,0.8293460925039873
2021-12-31,0.39582043715060333,22.04,1.81,2.67,12.61290,4.64460,12.05900,8.20360,0.92860,1.22150,0.91,5.88970,4.31400,0.6696859903381642,-1.1788362806617227
2020-12-31,-0.43836107457795215,0.00,1.23,2.32,-83.96190,-24.71130,7.01670,-44.56590,1.35210,1.23140,0.91,6.26120,4.49800,-0.49093144789425147,0.03758508434448071
2019-12-31,0.17719768017360615,0.00,1.57,2.13,-41.80590,-17.94820,9.88240,-30.79560,0.63260,1.18570,0.87,6.95400,4.24900,-0.04492072812683501,-5.741347053320861
2018-12-31,-0.45251763447098325,20.47,1.34,1.19,5.95040,3.08760,10.37940,6.51530,0.43870,1.16650,0.87,7.10170,4.16380,0.43713080168776375,-2.4205980066445183
2017-12-31,-0.1735976240818653,0.00,2.63,2.14,-4.06050,-2.10180,7.78580,-4.94420,0.48840,1.21040,0.95,6.56030,3.76550,0.44777031154551006,-0.10788381742738584
2016-12-31,0.23503445439379944,0.00,3.38,2.33,-3.91770,-2.08710,5.88640,-6.06620,0.47230,1.58890,1.31,5.77730,2.96260,-0.705892921307941,-1.814189189189189
2015-12-31,-0.1633382873382161,35.04,2.03,1.97,5.94620,3.13950,15.68990,5.84070,0.52910,1.90580,1.64,7.54020,4.04040,-0.4134878819810327,-0.6189775652813534
2014-12-31,-0.03629258196205787,16.29,1.82,2.26,15.00960,8.53610,19.53480,11.19390,0.35030,1.74200,1.42,8.08080,4.34880,0.13720790892750157,-0.19221628045157457
2013-12-31,0.3207175301016034,13.83,2.06,2.31,17.26500,10.19820,18.43550,14.87210,0.33240,1.93900,1.60,7.67560,3.93720,0.1655027932960893,0.22622950819672139
2012-12-31,0.030273796487733984,12.89,1.70,2.02,15.08690,8.54470,17.15750,13.15570,0.33360,1.95310,1.57,6.87250,3.67640,0.1574523116715163,0.0986591955173104
2011-12-31,-0.17168753796062253,13.97,1.92,2.18,14.41770,8.19910,16.91130,13.66080,0.31640,1.94900,1.50,6.12810,3.85040,0.6050856253243384,0.17108038434497308
2010-12-31,0.30038799478762956,18.36,2.88,2.69,13.52560,8.21570,14.44960,15.99810,0.25800,1.66570,1.32,5.54600,3.22200,-0.007212776919113817,0.36151882578174854
2009-12-31,0.561853966591954,18.43,2.55,2.97,16.45430,9.45470,17.09980,13.80500,0.28500,1.88040,1.62,9.38850,3.72900,,
