,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.14392637758687132,0.00,1.03,0.85,-1.44400,-0.72100,1.47180,-1.63820,0.50810,0.78150,0.55,8.88610,12.35400,-0.8917079207920792,-1.174306453216665
2021-12-31,0.04074810626166259,0.00,0.90,0.70,7.38070,3.65150,14.14830,9.78340,0.52420,0.76710,0.55,7.73740,11.68950,-4.556856388499498,-2.0597471022128557
2020-12-31,-0.1516477842420313,0.00,0.95,0.73,-7.49290,-3.46020,-4.23560,-9.83010,0.65190,0.61870,0.45,8.86000,14.05040,-1.5349295997228678,-4.9263549855192394
2019-12-31,-0.0046473733277025975,62.46,1.07,0.79,1.80060,0.85310,7.22540,2.28460,0.66100,0.59110,0.42,10.35590,14.80050,-0.5315599950974383,-0.7835199283475146
2018-12-31,-0.3033053871273511,9.75,1.01,0.79,8.26020,3.76820,15.15190,10.36710,0.76360,0.64320,0.51,11.12670,12.36460,-0.02735830443959264,-0.2868548799182422
2017-12-31,-0.14108664815057648,11.21,1.42,1.23,12.04040,5.24950,15.24790,14.22910,0.85790,0.64420,0.47,10.54390,12.19820,-0.4950644073918016,-0.01775519166823525
2016-12-31,0.05353512139558769,9.15,3.66,1.55,13.76560,5.45230,68.01640,32.62850,1.03880,0.68710,0.50,5.05990,6.06610,4.85789844851904,3.033147773279352
2015-12-31,0.2874202315568568,41.26,4.16,2.08,5.58680,3.21430,15.89910,11.07780,0.41590,1.03420,0.89,11.88850,6.78360,-0.21927047487955942,-0.23112840466926077
2014-12-31,0.35679296978684283,22.49,2.77,1.45,6.55960,3.70030,17.52170,12.39660,0.40200,0.67840,0.59,12.33090,6.66930,-0.09829961524140507,-0.09395381632293309
2013-12-31,0.3468522501654532,14.80,1.99,0.97,6.61060,3.66170,19.15550,13.48760,0.44030,0.71140,0.62,12.39940,5.77760,-0.07113222606268998,0.2805869074492098
2012-12-31,0.013313693614396938,13.93,1.57,0.77,5.47570,2.69920,22.14730,11.31110,0.58410,0.67260,0.59,10.99810,5.92960,-0.02888447006867567,-0.3449652521070531
2011-12-31,-0.10694462268993854,9.20,1.78,0.81,8.77480,5.43150,25.40600,19.23660,0.25510,1.65830,1.50,9.88950,5.97100,0.0331982725733424,-0.044369082944750726
2010-12-31,0.13939645035307602,9.89,2.15,0.89,8.54690,5.27900,26.56400,21.74590,0.25000,1.66500,1.52,9.29330,5.70150,0.1465514588859418,-0.0176290949472514
2009-12-31,-0.056878941546594675,8.48,2.01,0.86,10.32310,6.09100,24.86480,23.75680,0.24150,1.08030,0.97,9.52510,5.35100,,
