,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.23613552990289133,28.41,4.04,2.90,9.02330,5.23830,17.67160,13.01090,0.42550,2.42650,1.43,2.17790,6.82680,-0.08141927000882787,-0.2518367279664754
2021-12-31,-0.19895627445270136,31.78,5.49,4.06,12.92020,7.05960,19.11110,17.27580,0.49270,2.10130,1.40,2.63790,7.32480,0.2691526494197978,0.4474776633942097
2020-12-31,0.09756406633080128,57.29,7.57,5.68,10.06460,4.69480,16.67490,13.21650,0.74280,2.63400,1.68,2.36220,6.42200,0.004490036255540897,-0.2733505827081518
2019-12-31,0.46254571090082996,37.84,6.71,5.76,15.50630,7.32160,16.22810,17.78040,0.64070,2.32010,1.47,2.48940,6.19900,0.30920619289589424,1.2981145606119462
2018-12-31,0.04453059280288807,53.61,4.72,4.58,7.73360,3.12890,13.13950,8.20140,0.84990,2.12230,1.39,2.67790,6.68430,-0.13585191102692107,0.3164754474529601
2017-12-31,0.5540539760390157,74.09,5.27,4.50,6.38800,2.51170,17.34510,7.10660,0.92550,2.33280,1.52,2.46250,6.20540,0.1653639707136796,-0.35743564035268793
2016-12-31,0.2366149477257946,31.18,3.98,3.21,11.11810,6.10740,17.10110,12.70740,0.48430,2.76720,2.03,2.75750,6.86790,0.011275724854459268,-0.030572197514528443
2015-12-31,0.15706985043064536,24.82,3.34,2.61,11.77510,6.11630,17.45550,13.53070,0.52670,1.51150,1.01,2.61990,6.89630,0.10892603824798042,0.3046904555118046
2014-12-31,0.2389616415052287,27.04,2.74,2.36,10.00470,4.88070,15.48310,10.20090,0.55830,1.57390,1.04,2.67410,6.72200,0.22121614843458626,0.24388756702301806
2013-12-31,0.3380664873221264,25.42,2.25,1.89,7.94270,3.61570,13.75140,8.89490,0.67130,1.89030,1.37,2.56980,5.74440,-3.3873544243037084,-1.7938723646064076
2012-12-31,0.18907554662975734,0.00,1.74,1.59,-10.20370,-4.86870,-6.29960,-12.25380,0.54450,3.89840,2.72,2.48270,5.20510,-1.424532048385415,-1.5878130325457969
2011-12-31,0.16626574666075844,6.98,1.51,1.20,6.01790,3.04070,15.42030,21.66320,0.48410,4.72410,3.62,2.62320,5.21450,0.000882369185180476,0.6078500601708654
2010-12-31,0.022662534958395097,9.50,1.37,1.06,4.90530,2.40650,16.45170,14.38730,0.51310,2.18940,1.39,2.12310,4.75100,-0.08104132273019926,-0.3363102899727388
2009-12-31,0.10725942492318152,6.10,1.29,1.16,7.98630,3.29740,17.43890,21.11630,0.75490,2.97810,1.91,2.07660,3.92000,,
