,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.17285559658499172,31.17,4.83,4.87,15.80670,7.16390,18.68640,15.47370,0.78320,1.48320,1.15,4.60490,5.53480,-0.1630434782608695,-0.10032362459546929
2021-12-31,0.43539023104104024,34.16,6.72,6.41,18.91570,8.12420,25.57450,19.70110,0.85350,1.49690,1.12,3.87510,4.91550,0.2866307415960996,0.21176470588235285
2020-12-31,0.4371270070563442,29.02,5.73,5.32,18.47500,9.23510,24.19140,19.78710,0.62970,2.13090,1.74,4.02430,5.61190,0.6965607313887681,0.7248376623376624
2019-12-31,0.4554877558342454,35.13,5.09,4.33,12.46170,6.33430,17.98610,14.47030,0.59820,1.91920,1.38,4.21780,5.87310,0.21438012159661635,0.257998638529612
2018-12-31,0.182137710074046,30.52,3.69,3.23,10.65030,5.22480,15.53080,12.06180,0.68840,1.72850,1.24,4.49280,5.88930,0.2780405405405406,0.32044943820224714
2017-12-31,0.3502662553526952,33.43,3.55,2.96,8.76720,3.93160,14.15050,10.63680,0.82670,1.33670,0.92,3.86070,5.39260,0.20423108218063457,0.10039564787339272
2016-12-31,-0.0011750026295275218,27.24,3.02,2.53,9.40110,4.41100,13.45080,11.06490,0.77190,1.44290,0.99,4.47450,5.33240,0.052226027397260344,0.023797468354430418
2015-12-31,0.137451407144215,28.27,3.29,2.60,9.27390,4.84890,13.76950,11.64160,0.58420,1.38470,0.90,4.62370,6.14010,-0.06671956321197081,0.04254645270270263
2014-12-31,0.13067994933758054,25.91,2.90,2.38,9.22470,4.42340,14.81980,11.21640,0.70880,1.22240,0.88,5.05380,6.82790,0.5550441103379722,0.48778763841985406
2013-12-31,0.757804903868861,31.10,3.01,2.32,7.58840,4.01430,12.29610,9.72710,0.62220,3.16080,2.68,5.05940,6.73960,0.08602511837916671,0.08099159521181742
2012-12-31,0.43160415301718613,19.13,1.81,1.42,8.13720,4.58520,11.84740,9.41570,0.46070,2.30970,1.62,4.99850,6.93110,0.18492324912056302,-0.1142943078426949
2011-12-31,-0.18767957423032844,12.40,1.44,1.06,6.80540,3.81390,10.82120,11.50550,0.46730,1.54890,1.12,5.08590,6.55370,0.052773335577813274,0.284431137724551
2010-12-31,0.1608301050493146,20.79,2.09,1.35,6.41950,4.61890,11.43160,9.96240,0.13910,2.41840,1.73,5.22770,7.05190,0.18561021854106374,0.21854772272566803
2009-12-31,0.39976487677573447,22.52,1.94,1.21,5.33480,3.80670,10.11040,8.57280,0.14150,2.76390,2.07,5.31540,7.03150,,
