,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.22412383282329706,15.68,1.20,1.98,13.18180,2.45600,10.04500,7.65100,0.33820,,0.00,,,-0.22780325135473112,-0.22365887207702884
2021-12-31,0.1397180398759632,10.37,1.09,1.26,12.67700,3.03990,13.78100,10.44060,0.25240,,0.00,,,0.34172259507829983,0.3573562359970126
2020-12-31,0.05357125765315063,12.58,1.05,1.14,9.23600,2.30980,11.18160,8.37370,0.22430,,0.00,,,0.026995979322228525,0.02881290818286586
2019-12-31,0.1700576661225761,12.61,1.04,1.23,10.10680,2.38100,11.02560,8.24230,0.25280,,0.00,,,0.05101116812556605,0.03953674121405748
2018-12-31,-0.09645204676636632,11.55,0.96,1.23,11.02040,2.42050,10.94050,8.26890,0.28670,,0.00,,,0.06905453372055503,0.22684958353748153
2017-12-31,0.13368213556444397,16.22,1.15,1.36,8.66380,1.98680,10.72240,7.06180,0.27690,,0.00,,,-0.29823369565217395,-0.3178475935828877
2016-12-31,0.10953234548520885,10.19,1.11,1.26,12.97960,3.00660,15.98550,10.83080,0.27720,,0.00,,,-0.1363191863876394,-0.12360867018160515
2015-12-31,0.09094843397250374,8.67,1.11,1.18,14.57330,3.43270,19.06770,12.73170,0.26880,,0.00,,,-0.06320996702088677,-0.0684856753069577
2014-12-31,0.1960354191001843,8.08,1.10,1.12,14.86550,3.58180,20.08540,13.48720,0.25560,,0.00,,,0.028646814926498232,0.00521119034558426
2013-12-31,0.29069298016841305,7.42,1.04,1.03,14.81290,3.53810,20.25890,13.92080,0.25590,,0.00,,,0.4971783295711061,0.48573757131214346
2012-12-31,0.24813609203602982,8.93,0.85,0.83,9.73430,2.35660,13.76850,9.53380,0.25000,,0.00,,,1.0391254315304947,0.7355021216407356
2011-12-31,0.09253891311231821,13.39,0.75,0.72,5.82590,1.36360,6.83020,5.55690,0.26980,,0.00,,,-0.629740093736685,-0.5564617314930991
2010-12-31,0.14805948778755318,6.09,0.80,0.70,12.65790,3.04380,18.69230,12.69510,0.25950,,0.00,,,-0.0783428234832122,-0.11982330204307012
2009-12-31,0.1346209373681222,5.57,0.83,0.68,13.24990,3.30600,20.63610,14.67590,0.23810,,0.00,,,,
