,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.07865332442461248,17.64,1.19,2.05,12.11870,5.29060,6.86150,6.69050,0.50010,2.18960,1.22,3.04230,15.05150,0.0219907407407407,0.15415549597855227
2021-12-31,0.599299695673819,23.27,1.41,2.44,10.96110,4.71980,6.97790,6.02490,0.55280,2.56570,1.46,2.96910,14.77570,0.6875,1.4142394822006472
2020-12-31,0.08619866554745825,35.56,0.94,1.86,5.28660,2.00090,4.39450,2.65210,0.63420,2.52230,1.45,2.87330,14.80430,-0.5223880597014925,-0.6208588957055214
2019-12-31,-0.028641065820386835,12.59,0.76,1.83,14.76990,5.42680,7.86500,5.97950,0.69050,2.06010,1.00,2.80310,14.79910,-0.02810516772438798,-0.3330605564648118
2018-12-31,-0.18624373825223695,9.34,0.83,2.06,23.53620,8.56700,7.89440,8.74610,0.72880,2.13750,1.05,3.03670,13.64450,0.06364513018322082,2.980456026058632
2017-12-31,0.16722576981928494,49.05,1.06,2.59,5.41880,1.99480,7.30380,2.16230,0.69280,2.19370,1.06,2.84990,10.41670,-0.08553791887125217,-0.6808731808731809
2016-12-31,0.15823692259335842,13.57,0.95,2.32,15.12380,5.48900,8.22450,6.97710,0.66020,2.09320,0.95,2.53970,12.95870,-0.0052631578947368585,0.38020086083213767
2015-12-31,-0.0004954084098599543,16.48,0.86,2.28,14.06120,4.74570,8.49290,5.19260,0.72720,2.01050,0.92,2.64940,12.82040,0.04014598540145986,0.16166666666666663
2014-12-31,0.147872496830729,19.34,0.84,2.68,14.16200,4.14240,7.89740,4.32340,0.90680,2.01840,0.94,2.90760,13.40870,0.29397874852420314,0.20481927710843384
2013-12-31,0.4869124416360069,20.60,0.85,2.32,11.35950,3.84730,6.99770,4.11430,0.72700,2.36860,1.38,3.41920,12.36360,-0.19563152896486224,-0.15449915110356538
2012-12-31,0.34496091778032967,12.12,0.59,2.20,19.42490,4.45790,8.60510,4.81330,1.33300,2.11100,1.34,3.69430,14.76120,0.36398963730569944,1.4338842975206614
2011-12-31,-0.2147098415575024,23.11,0.50,1.83,8.81600,1.77750,6.84700,2.14630,1.61490,2.73490,1.92,3.87510,13.17170,0.12046444121915822,1.8139534883720931
2010-12-31,0.261718664116263,88.29,0.63,2.13,3.09560,0.60200,6.54630,0.81710,2.00610,3.52430,2.67,3.77910,11.79930,-0.007204610951008661,-3.774193548387097
2009-12-31,0.3671080118426788,0.00,0.45,1.75,-2.58320,-0.38540,6.60950,-0.29520,3.27350,4.64190,3.81,3.72550,11.74500,,
