,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.09376486533275719,15.33,0.78,1.66,11.01330,4.86860,7.48960,5.03650,0.80600,1.32540,1.21,6.74700,6.64080,-0.2637661085735833,-0.3179991329225663
2021-12-31,-0.051661621812701286,10.85,0.86,1.58,15.94740,7.54290,10.78220,7.82730,0.67660,1.14080,1.04,6.89970,7.23800,0.003489517460102398,0.051605148718559146
2020-12-31,-0.03999537108689999,12.28,1.00,1.80,14.88280,7.06980,11.75160,8.14070,0.60240,1.32280,1.25,6.76480,6.68560,0.11715195557558644,0.15765489785021636
2019-12-31,0.23615495532497688,15.44,1.11,2.19,14.83350,7.09230,10.68620,7.14370,0.71410,1.22550,1.12,7.82630,7.28980,0.034584628789155136,0.043939615778807006
2018-12-31,0.03165352334561655,13.74,0.99,1.90,14.59780,7.08250,10.91010,7.22790,0.73160,1.33760,1.24,7.88530,7.13440,-0.08195422824013543,0.03547219795170098
2017-12-31,0.06927451318283628,14.14,1.03,2.06,15.26920,7.16710,12.29770,7.22340,0.79980,0.97290,0.90,8.11510,6.93580,-0.0009622205521880867,0.07051731968126829
2016-12-31,-0.10680771878123774,14.47,1.04,2.17,16.25140,7.24160,13.12090,7.19220,0.89960,1.27630,1.18,8.22670,6.78420,0.01748140972451062,0.032579342503531894
2015-12-31,0.0773838748114617,17.13,1.29,2.64,17.42100,7.80720,13.92600,7.52200,0.79630,1.56150,1.46,8.39460,6.94350,0.18441557220176708,0.24737458810326718
2014-12-31,0.37329982996700406,19.80,1.31,2.79,15.95840,6.74130,12.95910,6.64640,0.86480,1.36550,1.27,8.28460,6.39660,0.047113484193909594,0.06776534901797993
2013-12-31,0.6855424440821536,15.24,1.05,2.33,16.78740,6.66560,13.78230,6.93190,1.00270,1.35140,1.26,8.06720,6.59640,0.07732116533159195,0.15173662633105267
2012-12-31,0.26105046747271055,10.24,0.65,1.64,17.68100,5.96340,13.54010,6.37010,1.34860,1.57430,1.46,8.07700,6.52310,0.05066568546134853,0.11371861555578455
2011-12-31,-0.10095497953615284,9.12,0.54,1.51,19.12430,5.85590,13.27070,5.88990,1.55680,1.63080,1.52,8.32330,6.97070,0.7739830762017812,0.7297845627174899
2010-12-31,0.4315905161249678,17.40,0.82,1.97,13.62780,3.66360,10.32040,4.69750,1.93480,1.61090,1.50,7.60020,5.84870,-0.028466662068803883,-0.11204079821932122
2009-12-31,0.6347168343117398,10.82,0.54,1.54,16.97430,7.67440,10.00570,4.98290,0.53500,1.36610,1.22,8.29750,8.63380,,
