,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-01-31,-0.20726117637026453,21.40,2.61,13.21,63.39430,23.13430,16.05130,12.17020,,1.61100,0.66,3.84430,51.19080,0.2629056672411081,0.26025702017676333
2022-01-31,0.13758063733811898,20.20,2.32,12.39,64.20830,20.69180,15.03310,11.42220,,1.46420,0.50,3.51010,36.93430,4.4788039707744645,4.606602781016293
2021-01-31,0.4359242234294467,90.25,2.57,7.87,8.79370,3.45450,3.84950,2.85820,,1.87150,1.00,3.59760,31.85740,-0.7371858569281657,-0.7509225222928132
2020-01-31,0.13439203602749483,22.03,2.11,7.97,37.11410,14.51410,12.18010,9.54230,,1.80730,0.67,3.64610,53.09480,0.05504647631996118,0.071954069415193
2019-01-31,0.03389968959320355,26.66,2.62,9.40,36.18020,20.63690,12.71590,9.80490,,2.32460,0.85,3.54710,49.32600,0.08759764698541495,0.18609271046081455
2018-01-31,0.09469730841455792,24.73,2.34,7.61,31.29460,19.08880,13.34510,9.43550,,2.63750,0.93,3.45460,59.01090,0.19923866588925687,0.35502245216712236
2017-01-31,-0.12269553620459717,41.76,3.53,10.91,26.43240,16.05720,13.48840,8.44040,,2.90220,1.12,3.29190,54.77470,0.2933595708922687,0.2804679883002925
2016-01-31,0.378054054054054,36.31,2.97,7.98,22.00020,14.34420,12.90220,8.15490,,3.47070,1.55,3.33400,60.37850,0.23362230912612847,0.24451358235946086
2015-01-31,0.4471214017521903,33.23,2.63,6.79,20.45260,12.96590,12.66180,7.93290,,3.50490,1.89,3.62090,61.81100,0.2528385493856462,0.26761778465755315
2014-01-31,0.3244923331951928,27.30,2.07,5.49,20.22230,12.65650,12.26660,7.59570,,3.75810,2.04,3.77640,56.76150,0.17004943245540716,0.1756022926820786
2013-01-31,-0.017708121310808123,36.64,2.83,7.96,21.92650,13.53060,12.61020,7.77160,,3.57050,1.94,3.97810,53.48080,0.42704015241986415,0.4347518791990954
2012-01-31,0.5306416513358454,39.63,2.68,8.01,20.56840,12.56390,11.04610,6.77100,,3.51970,2.04,4.73870,67.91390,0.650305339658827,0.6931437420808109
2011-01-31,0.9094094376942641,28.61,1.46,5.48,17.64580,9.72360,8.17160,4.88230,,2.47550,1.14,4.44250,65.26280,0.744369286751867,0.8048073991259275
2010-01-31,0.8722469413553262,29.07,0.93,3.81,13.45010,7.10870,5.57360,3.21860,,2.07960,0.44,4.08900,90.73020,0.4719584284538747,0.5575431375652999
2009-01-31,1.193231227710196,,,1.36,10.31480,4.44130,4.26880,2.32960,0.43290,2.36480,0.54,3.52500,59.37410,,
