,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.1520258430219269,6.51,0.83,0.64,9.86410,4.15540,9.93010,12.78140,0.91470,1.57650,1.06,2.77470,4.26340,-48.49968380585973,-2.6378535970372705
2021-12-31,-0.26126501345160225,0.00,0.77,0.77,-6.19290,-2.31410,-0.19010,-7.09540,1.12660,1.10300,0.70,3.09500,4.19240,-0.8387185376836221,0.8944618599791012
2020-12-31,-0.06766088745224808,0.00,0.80,0.93,-2.91840,-1.08830,-1.76460,-5.60770,1.23380,1.21820,0.70,1.48930,2.46620,-1.2946188679245283,-40.875
2019-12-31,-0.2664226130672611,0.00,0.90,0.83,0.14140,0.05380,6.22150,0.14610,1.15140,1.21340,0.73,2.84660,3.75980,-0.2099166012036653,-0.9523404255319149
2018-12-31,-0.35239816522909695,38.20,1.17,1.10,2.89720,1.07680,7.92030,3.08290,1.13940,1.38800,0.83,2.88050,3.96870,-0.36988547175062625,-0.49353448275862066
2017-12-31,0.1090406414155376,31.10,1.81,1.58,5.23010,1.94380,12.06950,5.84500,1.19900,1.12970,0.73,2.80200,3.29630,1.0554884631204868,0.44999999999999996
2016-12-31,-0.29443251267466064,39.75,1.69,1.74,4.31750,1.38220,6.31220,4.33330,1.51990,1.49240,1.01,2.59730,3.34560,-0.5213901019919228,-0.4336951392166116
2015-12-31,-0.040801357675187,30.88,2.70,2.58,8.68030,3.80690,15.49320,8.98900,0.75510,1.57020,1.10,2.67210,3.50650,0.0800672186402347,-0.08801377232623198
2014-12-31,0.2988468315207484,22.84,2.75,6.12,28.48290,5.89800,17.52160,12.03950,3.00370,1.21440,0.90,2.53820,3.40300,0.1911941875825629,0.49013949013949
2013-12-31,0.5810576631201176,26.04,2.35,5.17,21.16630,4.09620,16.43490,9.02720,3.14170,1.50850,0.95,2.33500,3.79620,0.023526230394807834,-0.026837260102980043
2012-12-31,0.2791233743893209,17.01,1.61,3.06,19.16070,5.38890,16.32410,9.43040,1.93850,1.77920,1.08,2.54900,4.37230,0.10338764074557738,0.19390473351837723
2011-12-31,0.015618994374366535,16.68,1.46,2.48,15.37340,4.64560,16.40260,8.75730,1.72360,1.39240,0.85,2.55340,4.29730,0.39339148318144534,1.4009750424903835
2010-12-31,0.14649612270008872,28.62,1.26,2.42,9.55750,2.99510,13.23880,4.10200,1.60520,1.96700,1.28,2.60680,4.71060,0.37877243349367773,1.3903096134108792
2009-12-31,0.8635020849552617,75.97,1.14,1.70,7.87970,2.29360,10.27640,1.83660,1.80110,1.91220,1.26,2.70890,4.12490,,
