,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.5972812234494478,0.00,0.51,0.48,-15.09240,-5.44550,-21.79380,-21.79670,1.01340,0.93220,0.00,,5.30050,-4.663021868787276,-8.32703777335984
2021-12-31,-0.21768029245596543,15.29,1.28,0.91,9.18440,3.47690,16.50400,8.25200,1.13240,2.10000,0.00,,4.98410,-0.19999999999999996,-0.17473338802296967
2020-12-31,-0.08094074526573003,16.62,1.91,1.22,11.29170,3.97510,23.56860,11.42350,1.28370,1.98900,0.00,,4.20610,-0.1641741442339648,-0.41082648622522955
2019-12-31,0.3233629749393696,11.37,2.10,1.49,19.20340,6.56000,27.00110,18.56610,1.33800,1.61070,0.00,,4.23240,0.5558428128231645,2.483164983164983
2018-12-31,0.10545129579982127,29.81,1.60,1.28,6.74120,2.09220,18.32650,5.62870,1.66230,1.05850,0.00,,4.02790,1.7124824684431976,-2.7626112759643915
2017-12-31,-0.18350966800437796,0.00,1.88,1.85,-6.78960,-1.38770,10.37390,-4.90320,3.20720,5.33990,0.00,,3.73940,-0.65354713313897,-1.2822445561139029
2016-12-31,0.027361319340329926,13.98,2.59,2.06,23.58180,7.77180,31.67620,18.37770,1.53340,1.60280,0.00,,4.34580,0.0367758186397984,0.15473887814313336
2015-12-31,-0.22554426705370112,16.89,2.74,2.01,19.23290,6.60620,31.04470,16.17140,1.41900,1.64410,0.00,,4.32320,-0.03687530325084909,-0.09218612818261629
2014-12-31,-0.2380004423800044,13.56,3.80,2.70,20.29630,7.11960,32.89710,18.18040,1.26860,0.95660,0.00,,4.37190,0.04354430379746832,0.05953488372093019
2013-12-31,0.4243856332703215,15.22,4.02,1.71,17.38500,7.19010,35.68200,19.42190,1.04870,1.86240,0.00,,4.03720,0.0623991393222163,0.13997879109225875
2012-12-31,0.5494264095679766,12.75,3.12,1.24,15.19630,7.39370,41.43080,21.01630,0.83310,2.88580,0.00,,3.97080,0.03105934553521905,-0.16696113074204944
2011-12-31,-0.017505995203837,7.29,2.00,0.82,17.43130,9.53580,43.25820,27.15930,0.65120,3.25870,0.00,,4.00000,0.30936819172113283,0.7361963190184049
2010-12-31,0.3596348223019237,13.81,2.37,0.95,10.57620,5.98060,37.15600,17.59310,0.58050,2.21020,0.00,,4.21140,0.08084772370486659,0.20517560073937147
2009-12-31,1.1659604519774014,11.89,1.88,0.70,9.16690,5.20450,36.84210,15.64490,0.56190,2.13410,0.00,,4.25860,,
