,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.3294013913674467,18.76,3.51,2.73,15.11060,4.37100,27.52390,18.65940,1.63080,0.77650,0.71,10.52810,4.02680,0.1470923603192702,0.35138705416116256
2021-12-31,0.38434448441807234,19.12,2.72,2.04,11.10480,3.28070,24.75770,14.24670,1.67900,0.91490,0.84,10.37200,5.37260,0.19482288828337868,6.278846153846154
2020-12-31,-0.07596828943178946,107.02,2.69,1.42,1.36100,0.44830,28.52700,2.69470,1.53220,0.61620,0.56,11.36030,7.72670,0.14627798021863603,-0.7544273907910272
2019-12-31,0.14209903479900898,26.10,2.74,1.37,4.46450,1.58340,23.42400,10.32800,1.36200,0.39820,0.37,15.68800,8.23390,1.5013020833333335,-6.42948717948718
2018-12-31,-0.23878559263586085,0.00,1.70,1.23,1.20910,0.42600,8.84180,-1.79600,1.40110,0.80840,0.74,20.82310,8.75600,-0.17152103559870546,-1.0717571297148114
2017-12-31,0.020448125628381275,8.14,2.20,1.09,15.51160,5.41290,11.54280,27.07010,1.29430,0.82350,0.78,20.35400,8.22850,0.3454281567489115,-6.127358490566038
2016-12-31,0.3137469494553049,0.00,2.09,1.12,-2.49180,-0.74730,9.18790,-5.65410,1.67320,0.49580,0.45,12.50000,7.99470,2.0486725663716814,-0.25744308231173385
2015-12-31,-0.3921989150505202,0.00,1.62,0.73,-8.09860,-2.68050,3.07070,-7.75820,1.50920,0.61150,0.56,14.00790,7.07010,-0.8559592096876991,-1.270104068117313
2014-12-31,0.21421243924969025,9.24,2.46,0.97,11.57550,4.62790,20.54470,27.68100,1.06990,0.73630,0.65,13.05630,6.70500,0.14109090909090916,3.916279069767442
2013-12-31,0.22794687642498856,34.75,2.16,1.65,7.61130,2.50170,20.04370,6.26820,1.29790,0.84870,0.75,15.60310,10.17800,-0.14702233250620345,-0.49941792782305006
2012-12-31,0.2592954147405899,12.62,1.45,1.61,12.50840,3.81880,21.53350,11.47480,1.44550,1.24210,1.13,19.97710,10.88080,-0.13658275307980716,1.2845744680851063
2011-12-31,0.37149045087615673,21.77,1.05,3.18,41.68600,6.53250,23.54350,4.74150,3.37280,1.13070,1.03,23.27810,12.44900,0.3269367448471927,-1.3427529626253418
2010-12-31,0.2005531195707413,0.00,0.67,0.73,3.33170,1.08520,21.19610,-16.52610,1.11970,0.98290,0.90,14.48890,13.35610,0.2721518987341771,-4.849122807017544
2009-12-31,0.4979640252106792,17.63,0.60,0.55,3.83630,1.36870,20.95490,5.39980,0.91760,1.53130,1.44,,6.46810,,
