,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-09-30,-0.18799919394032794,8.20,0.37,0.67,8.31200,3.34160,6.24190,4.44380,0.68190,1.53360,0.94,7.43850,7.92000,0.03559160506431058,0.12680424668972923
2021-09-30,0.03794942209688901,15.11,0.67,1.07,7.20700,2.87990,6.83450,4.47190,0.70090,1.55310,0.96,7.04730,7.24660,-6.0008372453573875,-2.213344912433058
2020-09-30,0.046265186798588154,0.00,0.48,0.79,-6.44380,-2.38400,-1.45740,-3.93030,0.88570,1.68820,1.00,7.10760,8.20400,-1.1714382360813704,-1.8007649513212796
2019-09-30,0.19285233879066488,9.76,0.46,0.72,7.42800,2.87800,8.17100,4.71760,0.86130,1.44810,0.84,6.89920,8.33900,0.25876116809397587,-0.5473004879584449
2018-09-30,-0.3835614882350825,6.21,0.73,1.01,16.62810,7.52860,7.29010,11.70330,0.55870,1.43550,0.89,7.06330,8.09920,0.5158308182250211,1.691188929680881
2017-09-30,0.2818084311270297,16.99,0.81,1.15,6.72630,2.78450,5.27060,4.76590,0.63110,1.49210,0.90,6.75540,7.87560,0.8201310345276351,-2.78703002775675
2016-09-30,,0.00,0.71,1.00,1.57480,0.67190,3.03630,-2.79640,0.58890,1.79230,1.04,6.96690,8.90080,-0.4952506744868035,-1.7815026621968053
2015-09-30,,,,0.79,4.25330,1.97540,7.66310,4.55830,0.47710,1.91670,1.11,5.10310,7.06160,0.5250447227191413,0.9281368821292777
2014-12-31,,,,,8.21600,2.99020,9.92720,4.67060,0.54930,1.91840,,6.63450,9.26150,-0.34573924092175157,-0.4517406712528663
2014-09-30,,,,,11.23180,4.38240,8.63460,4.84790,0.69290,1.78790,0.00,7.73560,8.84520,1.6534142857142857,-0.4282479141835519
2013-12-31,,,,,7.78240,3.10160,5.97510,15.56880,0.46230,2.10540,,6.45630,8.62240,-0.6045198711569955,0.15389905102461832
2013-09-30,,,,,,,8.52980,7.61730,,,1.21,,,1.3396557471264368,2.546829268292683
2012-12-31,,,,,4.64560,1.75120,6.58220,3.87740,0.64410,1.86800,,6.44020,8.73880,-0.09375,-0.16666666666666663
2011-12-31,,,,,5.65450,2.05450,7.41460,4.75000,0.66670,1.51620,,7.12610,8.76310,0.06371191135734078,1.3207547169811322
2010-12-31,,,,,5.74710,2.15570,7.29880,2.14310,0.61980,1.99510,,6.20870,5.98070,0.7609756097560976,-0.528888888888889
2009-12-31,,,,,7.01140,2.66050,3.79210,4.16200,0.63280,2.03210,,8.50100,6.44340,,
2012-09-30,,,,,,,,,,,1.45,,,,
2011-09-30,,,,,,,,,,,1.18,,,,
2010-09-30,,,,,,,,,,,1.50,,,,
2009-09-30,,,,,,,,,,,1.38,,,,
