,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.030221345087982576,0.00,2.49,-5.67,43.24450,-5.28780,-2.67980,-11.28230,-7.38670,2.22450,2.19,34.10020,17.39010,-0.7448275337670863,-0.4391851661713765
2021-12-31,-0.24629959188181494,0.00,2.56,-11.71,121.02030,-8.07600,-10.48290,-20.08110,-14.27210,2.23310,2.18,36.56840,18.86900,-0.6797673786265923,-0.6343994059726834
2020-12-31,-0.18037988082914425,0.00,5.72,-16.43,315.59640,-16.77740,-58.78470,-98.63460,-17.72070,2.02730,1.99,26.29890,10.47100,-2.4027527105612037,-17.80891978696589
2019-12-31,0.45021687644976915,119.11,2.22,9.54,20.20000,2.24480,13.28530,1.86030,6.74930,1.44050,1.40,45.94550,19.08360,0.19408943504255838,-0.7851527697709764
2018-12-31,-0.4016109137697397,17.82,1.50,5.58,44.25220,6.07650,10.94940,8.52130,5.19240,1.40340,1.37,61.33060,24.28270,-0.30317517159057006,-0.2338804118413076
2017-12-31,0.9806475413230138,21.71,2.67,15.08,82.46430,7.01210,17.38940,12.30910,8.92900,1.77370,1.74,52.02950,27.08350,1.0234649977447088,2.087843785515033
2016-12-31,0.27905405405405403,33.49,1.87,31.46,117.29010,2.53040,12.00380,5.56800,39.26370,2.11140,2.05,28.98720,19.84670,-0.20818024262379287,0.239054739105945
2015-12-31,-0.5224489170256142,36.44,1.55,289.67,1288.73700,2.69170,16.16370,4.79140,419.57730,2.25710,2.19,33.96800,21.69330,-0.47972429456699506,-0.7330477312679584
2014-12-31,-0.2092542357267706,18.20,2.45,62.70,456.03260,10.62190,23.30430,13.46340,35.01840,2.12660,2.07,45.91770,22.83460,-0.01845761268003565,0.0039826968154892395
2013-12-31,0.8089102984351397,23.01,2.98,126.16,758.70710,11.98700,22.95150,12.96320,50.34890,2.03970,1.99,46.54630,23.23350,0.25339656224375173,0.4513939239417095
2012-12-31,0.10726199204657472,18.96,1.86,88.52,701.13050,10.01430,19.96930,9.74020,56.64230,1.94660,1.89,50.96590,21.60460,0.020864079980956962,-0.18151330923698705
2011-12-31,0.12289932432156125,16.85,1.96,4.63,37.10950,11.95900,19.13250,11.63940,1.49990,1.09280,1.05,45.93380,22.09650,0.6125338263612112,2.830528268187126
2010-12-31,0.9328613808693267,57.32,2.16,3.84,13.29910,4.74340,14.94140,3.82650,1.37260,1.75820,1.66,31.08470,22.32270,1.661064652279443,6.752832381136827
2009-12-31,0.4601754250980996,253.04,1.49,1.48,1.23740,0.51580,7.71480,0.67820,1.12930,3.14640,3.00,18.60710,19.92170,,
