,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.05992116595786501,27.70,5.37,-3.98,-14.92790,22.66510,31.96430,19.36570,-1.33520,0.96640,0.00,,10.55860,0.02244039270687237,-0.15873015873015872
2021-12-31,0.3005380908085107,25.74,6.19,-4.64,-18.81050,26.39960,32.48790,23.92160,-1.34310,1.08270,0.00,,11.04700,0.42315369261477054,0.7422566371681416
2020-12-31,0.09825072421399539,35.14,5.61,-3.93,-11.45610,15.44770,26.59240,15.99430,-1.35910,1.00840,0.00,,10.58430,-0.22124352331606223,-0.3013910355486863
2019-12-31,0.1141464951480573,22.72,5.27,-3.52,-16.14270,24.73710,34.48280,23.11950,-1.31760,0.99090,0.00,,9.58390,-0.15940766550522645,-0.16083009079118027
2018-12-31,0.14602854005394184,18.04,4.91,-3.26,-19.45500,37.33660,40.36570,27.10970,-1.27080,0.92770,0.00,,10.13900,-0.1684172401303875,0.15074626865671648
2017-12-31,0.31089489801546977,19.44,4.48,-3.86,-21.15570,25.23070,46.97180,22.79690,-1.54780,1.65810,0.00,,14.69500,0.6414982164090368,-0.18441874619598297
2016-12-31,0.23716489602916369,14.01,3.44,-3.55,-18.13000,18.66860,26.46320,25.84960,-1.62510,1.15240,1.12,94.29730,17.17840,0.17294281729428174,0.28059236165237733
2015-12-31,0.025218466760553282,15.56,1.81,19.69,95.56240,11.48740,22.34340,19.99070,4.05370,0.54650,0.53,62.55000,19.80860,-0.054713249835201094,0.22074215033301625
2014-12-31,-0.016679834178125463,19.35,1.50,11.99,62.71820,12.07100,23.03020,15.95570,2.08480,0.64470,0.52,8.96350,20.26770,-0.15628476084538379,-0.036663611365719495
2013-12-31,0.16209029975267764,19.09,1.59,8.96,47.73440,12.23690,13.74200,8.33840,1.34100,0.74660,0.62,23.81630,41.01570,-0.21621621621621623,-0.3168440826549781
2012-12-31,0.14569661656468025,11.51,1.35,7.76,71.37150,17.84090,16.82680,11.71420,1.30580,0.84470,0.71,23.10540,45.29240,0.26391184573002757,0.21076573161485967
2011-12-31,0.22751029142411539,12.26,1.19,8.13,69.67640,15.11210,14.37510,10.44670,1.73120,0.94730,0.84,24.62270,44.14690,0.026003391746749482,0.1390328151986182
2010-12-31,0.43263550061573475,11.54,1.18,7.75,70.58120,14.16550,15.59550,10.20890,2.14980,0.94490,0.87,31.47090,44.30860,0.11257861635220134,0.08123249299719881
2009-12-31,0.1379873105601448,8.33,0.84,8.10,97.21720,15.15110,14.67330,9.88370,2.93180,0.73080,0.66,47.37710,45.33890,,
