,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
GLW,-0.0328084568336861,25.06,2.14,1.49,9.2008,3.8757,13.9504,8.574,0.4319,2.1244,1.51,3.3525,5.8196,-0.0205223880597015,-2.626890756302521
NTRS,-0.1467571230890569,10.88,2.44,1.51,16.1682,1.1772,,25.2732,1.3385,,0.0,,,0.1982373462268192,0.3358103326256192
RCL,-0.1614357633329776,11.0,2.1,1.77,16.3504,6.5556,19.9582,19.076,0.9705,0.1746,0.15,34.2652,29.2562,0.0864330044448113,0.1143961755745528
LHX,,,,,21.4155,7.1262,14.9157,11.3327,1.1562,1.2022,,9.8929,9.6375,0.0302351623740202,0.2872928176795579
LHX,,,,,,,,,,,1.04,,,,
OXY,-0.1301834301235802,9.81,2.27,1.86,19.3671,9.4199,31.4632,23.1766,0.4837,1.34,1.17,5.2127,3.6428,3.2228915662650603,2.1655172413793102
TDG,0.2382927693850922,19.97,4.72,-9.43,-53.1941,7.8869,43.4269,23.6421,-7.1205,4.0619,3.17,2.0291,5.411,0.1160970188407966,1.0588168087196943
ZBH,-0.1330618968680007,0.0,2.58,1.81,-3.3638,-1.5721,0.4261,-4.7801,0.7927,1.8285,0.9,1.0068,6.218,-0.957713291416698,-1.2090638438637116
DD,,14.06,2.4,0.55,0.4223,0.2156,0.9206,17.0178,0.1318,1.7276,1.67,3.7258,6.6629,-1.109936575052854,2.3175150992234683
DLR,-0.0303605066720622,73.46,6.08,1.7,3.5501,1.4353,18.0467,8.2039,1.0224,,0.0,,,0.2182432776786802,0.4434472243398712
EW,0.3589752462070801,45.45,8.8,10.13,22.9971,13.5658,20.0978,19.3994,0.1891,2.6088,1.92,1.5476,6.9287,-0.3131999265650816,0.2374914324880055
APH,-0.068216878348136,20.05,2.95,5.67,29.9419,12.1146,20.5669,14.6915,0.8786,1.865,1.36,4.4959,4.5775,0.1816335107873354,0.8524212144504228
WHR,-0.3449807659413407,0.0,0.29,1.8,-4.961,-0.8666,1.3262,-0.8699,1.8805,0.8161,0.55,6.9088,9.519,-0.7544014084507042,-1.522857142857143
ABNB,,,,,3.2592,-0.2549,0.5133,-0.4617,,1.5724,0.0,,1.5844,-1.230376305429678,-0.7593010307512207
GPC,0.04110184768751,15.28,0.74,3.53,21.588,5.9097,6.1494,4.8152,0.9053,1.2839,0.67,3.134,6.7498,0.03655232984925,0.3140896657840935
MCHP,-0.1671139235464566,85.59,5.11,6.01,7.7871,3.0931,23.5204,6.4158,0.9355,1.6637,1.43,3.2761,7.0619,2.3948538033747666,0.5516403402187122
